Distance
140
140
200
200
140
140
140
200
200
140
35
140
100
120
100
175
200
200
140
200
200
35
175
140
35
150
150
175
150
140
35
120
140
35
150
150
35
150
120
150
35
175
150
175
150
150
175
150
200
35
200
