,timestamp,left_elbow_angle
0,0,187.13806349180058
127,1,232.5375620203494
128,2,244.04449736279096
129,3,246.0771822940684
130,4,246.47530449183046
131,5,244.85490388208763
132,6,245.83439361710208
133,7,246.1315903757264
134,8,250.3211269889493
135,9,267.28521506810756
136,10,265.92734318951136
137,11,267.90216569954333
138,12,272.31015896156015
139,13,266.12539057870964
140,14,260.703093023178
141,15,263.90899561179714
142,16,257.4428846910221
143,17,255.6218611085845
144,18,243.02570157970928
145,19,226.53074922681182
146,20,221.23693047612065
147,21,209.72837416810654
126,22,233.50952721057968
148,23,210.72041234308568
125,24,234.42711837697476
123,25,241.06925082360613
102,26,286.21434456986435
103,27,287.3299305376729
104,28,285.6126538876192
105,29,270.5988291931328
106,30,266.44367767067627
107,31,268.39691333550593
108,32,275.27322311217165
109,33,272.2067956109604
110,34,231.5199343054065
111,35,274.71776362133846
112,36,283.57962840449113
113,37,284.97310397845524
114,38,284.9018212392
115,39,280.59507637429306
116,40,241.31560847980336
117,41,240.45984433341772
118,42,238.40780583299926
119,43,236.1811049717209
120,44,237.57792855743287
121,45,231.01599589581375
122,46,229.7676915574084
124,47,231.1007920422388
101,48,272.27688543435926
149,49,205.62916182089376
151,50,199.93874031683762
177,51,131.86740733090804
178,52,126.09847531935293
179,53,134.16631082067983
180,54,138.14401989687744
181,55,138.34435776906028
182,56,139.4228054559255
183,57,139.72910173677704
184,58,132.75857693215562
185,59,132.36106851173295
186,60,136.2955585359976
187,61,141.91137892559067
188,62,135.51423095077774
189,63,132.55606795626227
190,64,140.1795920656725
191,65,135.0113137434662
192,66,130.60270672244727
193,67,137.3244683576407
194,68,140.8474291920455
195,69,134.84821485352984
196,70,127.03763779630884
197,71,131.80249782103445
176,72,143.37981708728205
150,73,202.85913286764355
175,74,155.56014277984968
173,75,165.32882212526022
152,76,199.6445531285457
153,77,197.99651505162726
154,78,195.92675278354716
155,79,195.1633062312216
156,80,194.16468002436662
157,81,191.29441984196956
158,82,191.1604449661142
159,83,191.94363433109447
160,84,189.81040232027755
161,85,187.80458021811145
162,86,185.60009980765975
163,87,183.79832708964614
164,88,183.0728028839331
165,89,182.97265115791973
166,90,185.7911316978918
167,91,184.55473864741873
168,92,184.6502890513042
169,93,184.1772688488775
170,94,181.0913000047088
171,95,180.00000810661365
172,96,173.62693492103196
174,97,160.2070066496851
100,98,280.8185461613518
99,99,286.8125066994109
98,100,287.60004187986834
26,101,186.04553350216008
27,102,187.0348250218854
28,103,188.01607011961906
29,104,187.83911021052612
30,105,185.69717557679076
31,106,185.83094776464168
32,107,185.70186730732405
33,108,186.47336390524106
34,109,187.9315326740309
35,110,187.93154242637368
36,111,188.03417999972848
37,112,186.85210758086419
38,113,186.56909628447434
39,114,188.4339013504798
40,115,188.21538395821025
41,116,188.85319080272924
42,117,188.94090705192346
43,118,188.94090995744347
44,119,190.46213460666576
45,120,190.20218715904412
46,121,187.57003563565485
25,122,185.58264928513222
47,123,187.7436354164465
24,124,185.04875915746126
22,125,185.7831244370824
1,126,185.27635678623824
2,127,187.13806783734523
3,128,186.87420540923895
4,129,185.9787769807079
5,130,185.9789450550421
6,131,185.97887428221242
7,132,186.93594215504115
8,133,186.04150733666071
9,134,186.30979414751783
10,135,187.2043113339439
11,136,188.18467068780572
12,137,186.3098592590174
13,138,186.3097896473938
14,139,187.67767537121384
15,140,185.79843906056846
16,141,186.8086358793764
17,142,186.05515968484437
18,143,186.80864949359497
19,144,185.9411001629604
20,145,187.05894363043987
21,146,186.0793850145029
23,147,185.9352504852109
48,148,188.69093112660155
49,149,188.71580024461696
50,150,187.26775291237877
77,151,206.67160933039378
78,152,211.34784201167827
79,153,207.5897087370313
80,154,216.34216416718772
81,155,218.3236739683293
82,156,220.98079484677365
83,157,224.75760705519195
84,158,226.5146185657362
85,159,229.2968097526608
86,160,234.5849592838543
87,161,243.45855441232683
88,162,246.46463323296618
89,163,249.1708788377434
90,164,251.24679927218557
91,165,267.0439851497256
92,166,267.67082612480533
93,167,275.2605235882834
94,168,280.4372890856631
95,169,278.3075752967564
96,170,283.65845445944075
97,171,280.47647018947487
76,172,203.50852561155054
75,173,201.26812095890767
74,174,194.78133223412524
73,175,193.991782659529
51,176,186.7075731357758
52,177,185.9292726754972
53,178,186.16588014458853
54,179,189.29069655894023
55,180,187.70654424152943
56,181,188.02243964444713
57,182,186.24310725049645
58,183,189.42865849746622
59,184,186.5746939232773
60,185,187.03282778747442
198,186,118.83468030226325
61,187,188.52640245003894
63,188,187.68131080029502
64,189,185.6356975364827
65,190,186.0417832847143
66,191,189.58435997467186
67,192,187.57562258363987
68,193,189.7752605621766
69,194,190.20283760004548
70,195,190.92777751924095
71,196,190.98399984342024
72,197,190.65949652461092
62,198,186.54458975767704
199,199,135.19473970759745
